date,feeder_name,availability_hrs,consumption_mwh,feeder_type,day_of_week,month,is_weekend,lag1_avail
2019-01-02,AGBARA 33,24.0,267.0,Industrial,Wednesday,1,0,24.0
2019-01-03,AGBARA 33,10.0,104.2,Industrial,Thursday,1,0,24.0
2019-01-04,AGBARA 33,4.0,48.6,Industrial,Friday,1,0,10.0
2019-01-05,AGBARA 33,21.0,227.00000000000006,Industrial,Saturday,1,1,4.0
2019-01-06,AGBARA 33,21.0,225.50000000000006,Industrial,Sunday,1,1,21.0
2019-01-07,AGBARA 33,8.0,82.6,Industrial,Monday,1,0,21.0
2019-01-08,AGBARA 33,0.0,0.0,Industrial,Tuesday,1,0,8.0
2019-01-09,AGBARA 33,0.0,0.0,Industrial,Wednesday,1,0,0.0
2019-01-10,AGBARA 33,3.0,34.9,Industrial,Thursday,1,0,0.0
2019-01-11,AGBARA 33,18.0,218.0,Industrial,Friday,1,0,3.0
2019-01-12,AGBARA 33,24.0,291.40000000000003,Industrial,Saturday,1,1,18.0
2019-01-13,AGBARA 33,20.0,238.69999999999996,Industrial,Sunday,1,1,24.0
2019-01-14,AGBARA 33,21.0,228.99999999999997,Industrial,Monday,1,0,20.0
2019-01-15,AGBARA 33,19.0,214.59999999999997,Industrial,Tuesday,1,0,21.0
2019-01-16,AGBARA 33,20.0,241.50000000000003,Industrial,Wednesday,1,0,19.0
2019-01-17,AGBARA 33,20.0,224.69999999999996,Industrial,Thursday,1,0,20.0
2019-01-18,AGBARA 33,14.0,162.60000000000002,Industrial,Friday,1,0,20.0
2019-01-19,AGBARA 33,24.0,261.4,Industrial,Saturday,1,1,14.0
2019-01-20,AGBARA 33,18.0,206.79999999999998,Industrial,Sunday,1,1,24.0
2019-01-21,AGBARA 33,8.0,92.30000000000001,Industrial,Monday,1,0,18.0
2019-01-22,AGBARA 33,0.0,0.0,Industrial,Tuesday,1,0,8.0
2019-01-23,AGBARA 33,9.0,99.3,Industrial,Wednesday,1,0,0.0
2019-01-24,AGBARA 33,9.0,104.80000000000001,Industrial,Thursday,1,0,9.0
2019-01-25,AGBARA 33,5.0,55.0,Industrial,Friday,1,0,9.0
2019-01-26,AGBARA 33,18.0,204.50000000000003,Industrial,Saturday,1,1,5.0
2019-01-27,AGBARA 33,21.0,255.4,Industrial,Sunday,1,1,18.0
2019-01-28,AGBARA 33,20.0,228.9,Industrial,Monday,1,0,21.0
2019-01-29,AGBARA 33,12.0,132.4,Industrial,Tuesday,1,0,20.0
2019-01-30,AGBARA 33,2.0,18.4,Industrial,Wednesday,1,0,12.0
2019-01-31,AGBARA 33,5.0,56.599999999999994,Industrial,Thursday,1,0,2.0
2019-02-01,AGBARA 33,24.0,101.1,Industrial,Friday,2,0,5.0
2019-02-02,AGBARA 33,20.0,222.49999999999994,Industrial,Saturday,2,1,24.0
