date,district,feeder_name,availability_hrs,consumption_mwh,feeder_type,day_of_week,month,lag1_avail,lag2_avail,lag3_avail,yesterday_full
2019-01-04,AGBARA,AGBARA 33,4.0,48.6,Industrial,4,1,10.0,24.0,24.0,0
2019-01-05,AGBARA,AGBARA 33,21.0,227.00000000000006,Industrial,5,1,4.0,10.0,24.0,0
2019-01-06,AGBARA,AGBARA 33,21.0,225.50000000000006,Industrial,6,1,21.0,4.0,10.0,0
2019-01-07,AGBARA,AGBARA 33,8.0,82.6,Industrial,0,1,21.0,21.0,4.0,0
2019-01-08,AGBARA,AGBARA 33,0.0,0.0,Industrial,1,1,8.0,21.0,21.0,0
2019-01-09,AGBARA,AGBARA 33,0.0,0.0,Industrial,2,1,0.0,8.0,21.0,0
2019-01-10,AGBARA,AGBARA 33,3.0,34.9,Industrial,3,1,0.0,0.0,8.0,0
2019-01-11,AGBARA,AGBARA 33,18.0,218.0,Industrial,4,1,3.0,0.0,0.0,0
2019-01-12,AGBARA,AGBARA 33,24.0,291.40000000000003,Industrial,5,1,18.0,3.0,0.0,0
2019-01-13,AGBARA,AGBARA 33,20.0,238.69999999999996,Industrial,6,1,24.0,18.0,3.0,1
2019-01-14,AGBARA,AGBARA 33,21.0,228.99999999999997,Industrial,0,1,20.0,24.0,18.0,0
2019-01-15,AGBARA,AGBARA 33,19.0,214.59999999999997,Industrial,1,1,21.0,20.0,24.0,0
2019-01-16,AGBARA,AGBARA 33,20.0,241.50000000000003,Industrial,2,1,19.0,21.0,20.0,0
2019-01-17,AGBARA,AGBARA 33,20.0,224.69999999999996,Industrial,3,1,20.0,19.0,21.0,0
2019-01-18,AGBARA,AGBARA 33,14.0,162.60000000000002,Industrial,4,1,20.0,20.0,19.0,0
2019-01-19,AGBARA,AGBARA 33,24.0,261.4,Industrial,5,1,14.0,20.0,20.0,0
2019-01-20,AGBARA,AGBARA 33,18.0,206.79999999999998,Industrial,6,1,24.0,14.0,20.0,1
2019-01-21,AGBARA,AGBARA 33,8.0,92.30000000000001,Industrial,0,1,18.0,24.0,14.0,0
2019-01-22,AGBARA,AGBARA 33,0.0,0.0,Industrial,1,1,8.0,18.0,24.0,0
2019-01-23,AGBARA,AGBARA 33,9.0,99.3,Industrial,2,1,0.0,8.0,18.0,0
